city,freebase_id,iata_code,country
Alexander,/m/0ypn3,,United States
Alexander,/m/0szhy,,United States
Alexander,/m/0qwn8,,United States
Alexander,/m/0tb8g,,United States
Alexander Bay,/m/072c1z,,South Africa
Alexander City,/m/0qc30,,United States
Alexandreia,/m/0d5y0r,,Greece
Alexandria,/m/013g3,,Egypt
Alexandria,/m/013h9,,United States
Alexandria,/m/013jg,,Romania
Alexandria,/m/013gm,,United States
Alexandria,/m/0vzff,,United States
Alexandria,/m/0wtph,,United States
Alexandria,/m/013gz,,United States
Alexandria,/m/0td29,,United States
Alexandria,/m/0_qpv,,United States
Alexandria Arachosia,/m/0270f7t,,Afghanistan
Alexandria Ariana,/m/0270f6f,,Afghanistan
Alexandria Asiana,/m/026_l_5,,Iran
Alexandria Bucephalous,/m/027ppv0,,Seleucid Empire
Alexandria Carmania,/m/0vsfzkz,,Iran
Alexandria Eschate,/m/043tjn,,Tajikistan
Alexandria Prophthasia,/m/0_qfdbx,,Afghanistan
Alexandria Troas,/m/013hr,,Turkey
Alexandria in Orietai,/m/0w2z7nc,,Pakistan
Alexandria on the Caucasus,/m/03yhbs,,Afghanistan
Alexandria on the Indus,/m/04_wkt,,Pakistan
Alexandropolis Maedica,/m/06zjw65,,http://www.wikidata.org/.well-known/genid/3650aac376cd18b798c41a2e5c931354
Alexandroupolis,/m/05sykp,,Greece
Aley,/m/02p8gtb,,Lebanon
Aleșd,/m/01r1c5,,Romania
Alfeld (Leine),/m/0143xg,,Germany
Alfredo Baquerizo Moreno,/m/060lfg,,Ecuador
Algarrobo,/m/04ldc53,,Chile
Algiers,/m/0rtv,,Algeria
Algodones,/m/0410q8,,Mexico
Algoma,/m/0114d0,,United States
Algona,/m/0t0dy,,United States
Algona,/m/010r51,,United States
Algonac,/m/0vq3t,,United States
Alhambra,/m/0q_wd,,United States
Alhué,/m/0cmd8nh,,Chile
Ali Sabieh,/m/09bb1z,,Djibouti
Alicante,/m/0zc6,,Spain
Alice,/m/0ynbj,,United States
Alice,/m/0104r9,,United States
Aliceville,/m/0qbcr,,United States
Aligarh,/m/02cb66,,India
Alinda,/m/09tcbb,,Turkey
Alingsås,/m/02p3h38,,Sweden
Aliquippa,/m/0zjyp,,United States
Alishan Township,/m/07khf8_,,Taiwan
Aliso Viejo,/m/0r29m,,United States
Aliyu Amba,/m/03nnltg,,Ethiopia
Allada,/m/09ld29,,Benin
Allakaket,/m/0qhz_,,United States
Allardt,/m/0_trz,,United States
Allegan,/m/0v0q8,,United States
Allegheny,/m/03xcc6,,United States
Alleman,/m/0t2df,,United States
Allen,/m/0fvzp0,,Argentina
Allen,/m/0__6g,,United States
Allen,/m/0tdlp,,United States
Allen,/m/0t883,,United States
Allen Park,/m/0vrkz,,United States
Allendale,/m/0x125,,United States
Allendorf (Lumda),/m/0f5hxr,,Germany
Allenhurst,/m/0rxsd,,United States
Allentown,/m/0_3cs,,United States
Allentown,/m/0rt8r,,United States
Allerton,/m/0t45x,,United States
Alliance,/m/0yjlm,,United States
Alliance,/m/0x4hg,,United States
Alliance,/m/013jyd,,United States
Allianoi,/m/0bbngb,,Turkey
Allifae,/m/0893rs,,Italy
Allison,/m/0ss7x,,United States
Alloa,/m/020w1_,,United Kingdom
Allondrelle-la-Malmaison,/m/03hlffl,,France
Allschwil,/m/0g77wr,,Switzerland
Allstedt,/m/0d3_hy,,Germany
Alma,/m/03lm3q,,United States
Alma,/m/0qslr,,United States
Alma,/m/0x754,,United States
Alma,/m/0xhl_,,United States
Alma,/m/0v6nr,,United States
Alma,/m/0tc5j,,United States
Alma,/m/0rszb,,United States
Almaty,/m/0151s1,,Kazakhstan
Almazna,/m/0gt4xn,,Ukraine
Almeirim,/m/05h3zbr,,Brazil
Almena,/m/0t96g,,United States
Almere,/m/0vh7g,,Netherlands
Almetyevsk,/m/08ls82,,Russia
Almirante Tamandaré,/m/09rs3hg,,Brazil
Almont,/m/0ypyq,,United States
Aloja,/m/0c3sy9,,Latvia
Alokopennesos,/m/07s974p,,Turkey
Alor Setar,/m/04p9tf,,Malaysia
Aloros,/m/06zngsc,,Greece
Alos,/m/04mx0dy,,Greece
Alotau,/m/0f4d9b,,Papua New Guinea
Alpena,/m/0v11m,,United States
Alpha,/m/0w2w1,,United States
Alpharetta,/m/0rwl1,,United States
Alphen aan den Rijn,/m/0w9wg,,Netherlands
